Produkt Name #1;Produkt Name #2;Produkt Name #3;Produkt Name #4;Produkt Name #5;Produkt Name #6;Produkt Name #7;Produkt Name #8;Bestell ID;Shipping Postcode;Shipping City;Customer ID
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;39919;50933;Köln;115
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;41795;50823;Köln;116
"Bauerntüte ""klassik""";;;;;;;;30879;50670;Köln;117
Smoothiebox Mix (ca. 6 kg);;;;;;;;37289;50937;Koeln;118
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43146;51065;Köln;119
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;;41985;50667;Köln;120
Abo Gemüsekiste Bio (ca.5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich);"Abo Obstbox Bio <br /><span style=""font-size:0.6em;"">(ca. 5Kg)</span><br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";;;;;;;43528;50858;Köln;121
"Abo Obst &amp; Gemüse Bio (ca. 5Kg)1x im Monat / 2x im Monat / 4x im Monat - 4x im Monat (wöchentlich)";;;;;;;;41754;50858;Köln;121
"Abo Obstbox Bio <br /><span style=""font-size:0.6em;"">(ca. 5Kg)</span><br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;;;;;;;41800;50858;Köln;121
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42121;50858;Köln;121
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42540;50858;Köln;121
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;"Abo Obstbox Bio <br /><span style=""font-size:0.6em;"">(ca. 5Kg)</span><br /><span style=""font-size:0.6em;"">1x im Monat / 2x im Monat / 4x im Monat</span> - 4x im Monat (wöchentlich)";;;;;;;41835;50858;Köln;121
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;37048;50969;Köln;122
Bio Obst (ca. 5Kg) 4-5 Sorten, direkt verzehrbar;Bio Gemüsekiste(ca. 5Kg);;;;;;;42785;50827;Köln;123
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40322;50997;Köln;124
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;42777;50968;köln;125
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;43314;50931;Köln;126
"Bio Obst &amp; Gemüse (ca. 5 kg)";;;;;;;;40812;50858;Köln;127
